"","Genus","Species","Habitat_Forest","Habitat_Savanna","Habitat_Shrubland","Habitat_Grassland","Habitat_Wetlands","Habitat_Rocky.areas","Habitat_Desert","IUCN","Pop_T","TrophicGuild"
"250","Piliocolobus","gordonorum",1,0,0,0,1,0,0,"EN","D","Folivore_frugivore"
"251","Piliocolobus","kirkii",1,0,1,0,1,0,0,"EN","D","Folivore_frugivore"
"252","Piliocolobus","pennantii",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"253","Piliocolobus","preussi",1,0,0,0,0,0,0,"CR","D","Folivore"
"254","Piliocolobus","rufomitratus",1,0,0,0,0,0,0,"EN","D","Folivore"
"255","Piliocolobus","tephrosceles",1,0,0,0,0,0,0,"EN","D","Folivore"
"256","Piliocolobus","tholloni",1,0,0,0,1,0,0,"NT","D","Folivore"
"257","Pithecia","aequatorialis",1,0,0,0,0,0,0,"LC","D",NA
"258","Pithecia","albicans",1,0,0,0,0,0,0,"LC","D","Frugivore"
"259","Pithecia","irrorata",1,0,0,0,1,0,0,"LC",NA,"Frugivore"
"260","Pithecia","monachus",1,0,0,0,1,0,0,"LC",NA,NA
"261","Pithecia","pithecia",1,0,0,0,1,0,0,"LC",NA,"Frugivore"
"262","Callicebus","baptista",1,0,0,0,0,0,0,"LC",NA,NA
"263","Callicebus","bernhardi",1,0,0,0,0,0,0,"LC",NA,NA
"264","Callicebus","brunneus",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"265","Callicebus","caligatus",1,0,0,0,0,0,0,"LC",NA,NA
"266","Callicebus","cinerascens",1,0,0,0,0,0,0,"LC",NA,NA
"267","Callicebus","cupreus",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"268","Callicebus","discolor",1,0,0,0,1,0,0,"LC",NA,"Frugivore"
"269","Callicebus","donacophilus",1,1,0,0,1,0,0,"LC","D","Frugivore"
"270","Callicebus","hoffmannsi",1,0,0,0,1,0,0,"LC",NA,NA
"271","Callicebus","modestus",1,0,1,0,1,0,0,"EN","D","Frugivore"
"272","Callicebus","moloch",1,0,0,0,0,0,0,"LC",NA,NA
"273","Callicebus","oenanthe",1,0,1,0,1,0,0,"CR","D","Omnivore"
"274","Callicebus","olallae",1,1,1,0,1,0,0,"EN","D","Folivore_frugivore"
"275","Callicebus","ornatus",1,0,0,0,0,0,0,"VU","D","Frugivore"
"276","Callicebus","pallescens",1,0,1,0,1,0,0,"LC","S","Omnivore"
"277","Callicebus","stephennashi",1,0,0,0,0,0,0,"DD",NA,NA
"278","Pongo","abelii",1,0,0,0,0,0,0,"CR","D","Frugivore"
"279","Pongo","pygmaeus",1,0,0,0,0,0,0,"CR","D","Frugivore"
"280","Presbytis","chrysomelas",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"281","Presbytis","comata",1,0,0,0,0,0,0,"EN","D","Folivore"
"282","Presbytis","femoralis",1,0,0,1,1,0,0,"NT","D","Folivore_frugivore"
"283","Presbytis","frontata",1,0,0,0,0,0,0,"VU","D","Folivore"
"284","Presbytis","hosei",1,0,0,0,0,0,0,"VU","D","Folivore"
"285","Presbytis","melalophos",1,0,1,0,0,0,0,"EN","D","Folivore_frugivore"
"286","Presbytis","natunae",1,0,0,0,0,0,0,"VU","D",NA
"287","Presbytis","potenziani",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"288","Presbytis","rubicunda",1,0,0,0,0,0,0,"LC","D","Folivore_frugivore"
"289","Presbytis","siamensis",1,0,0,0,0,0,0,"NT","D","Folivore_frugivore"
"290","Presbytis","thomasi",1,0,0,0,0,0,0,"VU","D","Folivore_frugivore"
"291","Procolobus","verus",1,0,0,0,0,0,0,"NT",NA,"Folivore"
"292","Prolemur","simus",1,0,0,0,0,0,0,"CR","D","Folivore"
"293","Propithecus","coquereli",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"294","Propithecus","deckenii",1,0,0,0,0,0,0,"EN","D",NA
"295","Propithecus","diadema",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"296","Propithecus","edwardsi",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"297","Propithecus","perrieri",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"298","Propithecus","tattersalli",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"299","Propithecus","verreauxi",1,0,1,0,0,0,0,"EN","D","Folivore_frugivore"
"300","Pygathrix","cinerea",1,0,0,0,0,0,0,"CR","D","Folivore"
"301","Pygathrix","nemaeus",1,0,0,0,0,0,0,"EN","D","Folivore"
"302","Pygathrix","nigripes",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"303","Rhinopithecus","avunculus",1,0,0,0,0,0,0,"CR","D","Folivore_frugivore"
"304","Rhinopithecus","bieti",1,0,0,0,0,0,0,"EN","D","Folivore"
"305","Rhinopithecus","brelichi",1,0,0,0,0,0,0,"EN","D","Folivore"
"306","Rhinopithecus","roxellana",1,0,0,0,0,0,0,"EN","D","Folivore"
"307","Saguinus","bicolor",1,0,0,0,0,0,0,"EN","D","Frugivore"
"308","Saguinus","geoffroyi",1,0,0,0,0,0,0,"LC","D","Omnivore"
"309","Saguinus","imperator",1,0,0,0,0,0,0,"LC","D","Omnivore"
"310","Saguinus","inustus",1,0,0,0,0,0,0,"LC","S","Frugivore"
"311","Saguinus","labiatus",1,0,0,0,0,0,0,"LC","S","Omnivore"
"312","Saguinus","leucopus",1,0,0,0,0,0,0,"EN","D","Frugivore"
"313","Saguinus","martinsi",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"314","Saguinus","midas",1,1,0,0,0,0,0,"LC","S","Omnivore"
"315","Saguinus","mystax",1,0,0,0,0,0,0,"LC","S","Omnivore"
"316","Saguinus","niger",1,0,0,0,0,0,0,"VU","D","Frugivore"
"317","Saguinus","oedipus",1,0,0,0,0,0,0,"CR","D","Omnivore"
"318","Saimiri","boliviensis",1,0,0,0,0,0,0,"LC","D","Omnivore"
"319","Saimiri","oerstedii",1,0,0,0,0,0,0,"VU","D","Omnivore"
"320","Saimiri","sciureus",1,0,0,0,0,0,0,"LC","D",NA
"321","Saimiri","ustus",1,0,0,0,0,0,0,"NT","D","Omnivore"
"322","Saimiri","vanzolinii",1,0,0,0,0,0,0,"VU",NA,"Omnivore"
"323","Cebus","apella",1,1,0,0,0,0,0,"LC","D","Omnivore"
"324","Cebus","libidinosus",1,1,0,0,0,0,0,"LC","D","Omnivore"
"325","Cebus","nigritus",1,0,0,0,0,0,0,"NT","D","Omnivore"
"326","Cebus","xanthosternos",1,0,0,0,0,0,0,"CR","D","Omnivore"
"327","Galago","alleni",1,0,0,0,0,0,0,"EN",NA,"Frugivore"
"328","Galago","cameronensis",1,0,0,0,0,0,0,"LC",NA,NA
"329","Galago","gabonensis",1,0,0,0,0,0,0,"LC",NA,"Frugivore"
"330","Semnopithecus","ajax",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"331","Semnopithecus","entellus",1,1,1,0,0,0,0,"LC","D","Folivore_frugivore"
"332","Semnopithecus","hector",1,0,0,0,0,0,0,"NT","D","Folivore"
"333","Semnopithecus","hypoleucos",1,0,0,0,0,0,0,"VU","D","Folivore"
"334","Trachypithecus","johnii",1,0,0,0,0,0,0,"VU","D","Folivore_frugivore"
"335","Semnopithecus","priam",1,0,1,0,0,0,0,"NT","D","Folivore_frugivore"
"336","Semnopithecus","schistaceus",1,0,1,0,0,1,0,"LC","D","Folivore_frugivore"
"337","Trachypithecus","vetulus",1,0,0,0,0,1,0,"EN","D",NA
"338","Simias","concolor",1,0,0,0,0,0,0,"CR","D","Folivore"
"339","Symphalangus","syndactylus",1,0,0,0,0,0,0,"EN","D","Folivore_frugivore"
"340","Tarsius","dentatus",1,0,0,0,0,0,0,"VU","D","Insectivore"
"341","Tarsius","pelengensis",1,0,0,0,0,0,0,"EN","D","Insectivore"
"342","Tarsius","pumilus",1,0,0,0,0,0,0,"DD","D","Insectivore"
"343","Tarsius","sangirensis",1,0,0,0,1,0,0,"EN","D","Insectivore"
"344","Tarsius","tarsier",1,0,0,0,0,0,0,"VU","D","Insectivore"
"345","Theropithecus","gelada",0,0,0,1,0,1,0,"LC","D","Folivore"
"346","Trachypithecus","auratus",1,0,0,0,0,0,0,"VU","D","Folivore"
"347","Trachypithecus","barbei",1,0,0,0,0,0,0,"DD","D",NA
"348","Trachypithecus","cristatus",1,0,0,0,0,0,0,"NT","D","Folivore"
"349","Trachypithecus","delacouri",1,0,0,0,0,0,0,"CR","D","Folivore"
"350","Trachypithecus","ebenus",1,0,0,0,0,1,0,"EN","D",NA
"351","Trachypithecus","francoisi",1,0,0,0,0,0,0,"EN","D","Folivore"
"352","Trachypithecus","geei",1,0,0,0,0,0,0,"EN","D","Folivore"
"353","Trachypithecus","germaini",1,0,0,0,0,0,0,"EN","D","Folivore"
"354","Trachypithecus","hatinhensis",1,0,0,0,0,1,0,"EN","D","Folivore"
"355","Trachypithecus","laotum",1,0,0,0,0,1,0,"VU","D","Folivore"
"356","Trachypithecus","obscurus",1,0,0,0,0,0,0,"NT","D","Folivore"
"357","Trachypithecus","phayrei",1,1,0,0,0,0,0,"EN","D","Folivore"
"358","Trachypithecus","pileatus",1,0,0,0,0,0,0,"VU","D","Folivore"
"359","Trachypithecus","poliocephalus",1,0,1,0,0,0,0,"CR","D","Folivore"
"360","Trachypithecus","shortridgei",1,0,0,0,0,0,0,"EN","D","Folivore"
"361","Varecia","rubra",1,0,0,0,0,0,0,"CR","D","Frugivore"
"362","Varecia","variegata",1,0,0,0,0,0,0,"CR","D","Frugivore"
"363","Homo","sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Cheirogaleus","ravus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Cheirogaleus","adipicaudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","Eulemur","albocollaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","Pseudopotto","martini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","Galago","nyasae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","Otolemur","monteiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","Saguinus","pileatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","Saguinus","graellsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Callithrix","manicorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Alouatta","coibensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Aotus","hershkovitzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Callicebus","dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Semnopithecus","dussumieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
